Shoulder Flex/Ext (Unilateral);;;;;;;;;;;;;;;;;;;
Model;Rep;Left Peak Frame;Left Peak Time (s);Left Peak (°);Left Valley Frame;Left Valley Time (s);Left Valley (°);ROM (°);Right Peak Frame;Right Peak Time (s);Right Peak (°);Right Valley Frame;Right Valley Time (s);Right Valley (°);ROM (°);;;;
C7;7;3808;38.08;44.77;4024;40.24;-56.17;100.94;;;;;;;;;;;
NOT_C7;1;1280;12.8;43.35;1529;15.29;-51.03;94.38;;;;;;;;;;;
NOT_C7;2;1707;17.07;43.94;1952;19.52;-51.67;95.61;;;;;;;;;;;
NOT_C7;3;2146;21.46;42.22;2378;23.78;-49.39;91.61;;;;;;;;;;;
NOT_C7;4;2575;25.75;43.7;2809;28.09;-50.29;93.99;;;;;;;;;;;
NOT_C7;5;2983;29.83;44.25;3215;32.15;-46.41;90.66;;;;;;;;;;;
NOT_C7;6;3388;33.88;42.2;3610;36.1;-50.31;92.52;;;;;;;;;;;
NOT_C7;7;3809;38.09;41.43;4024;40.24;-52.67;94.11;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
