Movement,Model,Anatomic_Distances,Rep,Left_Peak_frame,Left_Peak_time_s,Left_Peak_deg,Left_Valley_frame,Left_Valley_time_s,Left_Valley_deg,Left_ROM_deg,Right_Peak_frame,Right_Peak_time_s,Right_Peak_deg,Right_Valley_frame,Right_Valley_time_s,Right_Valley_deg,Right_ROM_deg
Shoulder Flex/Ext,NOT_C7,Perfect,6,4246,42.46,154.66,4555,45.55,-49.78,204.44,4129.0,41.29,163.96,4401.0,44.01,-47.25,211.21
Shoulder Flex/Ext,NOT_C7,Perfect,7,4914,49.14,158.2,5191,51.91,-47.76,205.96,4702.0,47.02,161.04,4959.0,49.59,-42.75,203.79
Shoulder Abd/Add,Complete,IJ_C7,1,1004,10.04,172.59,1344,13.44,-8.68,181.27,938.0,9.38,167.29,1244.0,12.44,-6.92,174.21
Shoulder Abd/Add,Complete,IJ_C7,2,1604,16.04,172.67,1938,19.38,-7.57,180.24,1466.0,14.66,166.57,1749.0,17.49,3.57,163.0
Shoulder Abd/Add,Complete,IJ_C7,3,2172,21.72,173.71,2455,24.55,-13.14,186.85,1948.0,19.48,166.48,2244.0,22.44,-3.86,170.33
Shoulder Abd/Add,Complete,IJ_C7,4,2653,26.53,172.4,2919,29.19,-12.2,184.6,2448.0,24.48,167.74,2701.0,27.01,-5.39,173.13
Shoulder Abd/Add,Complete,IJ_C7,5,3137,31.37,170.69,3407,34.07,-15.06,185.75,2915.0,29.15,165.84,3192.0,31.92,-3.72,169.55
Shoulder Abd/Add,Complete,IJ_C7,6,3628,36.28,173.12,3894,38.94,-13.94,187.06,3398.0,33.98,163.21,3682.0,36.82,-5.02,168.23
Shoulder Abd/Add,Complete,IJ_C7,7,4105,41.05,171.99,4363,43.63,-11.63,183.62,3885.0,38.85,164.38,4191.0,41.91,-1.98,166.36
Shoulder Abd/Add,Complete,PX_C7,1,1004,10.04,172.59,1344,13.44,-8.68,181.27,938.0,9.38,167.29,1244.0,12.44,-6.92,174.21
Shoulder Abd/Add,Complete,PX_C7,2,1604,16.04,172.67,1938,19.38,-7.57,180.24,1466.0,14.66,166.57,1749.0,17.49,3.57,163.0
Shoulder Abd/Add,Complete,PX_C7,3,2172,21.72,173.71,2455,24.55,-13.14,186.85,1948.0,19.48,166.48,2244.0,22.44,-3.86,170.33
Shoulder Abd/Add,Complete,PX_C7,4,2653,26.53,172.4,2919,29.19,-12.2,184.6,2448.0,24.48,167.74,2701.0,27.01,-5.39,173.13
Shoulder Abd/Add,Complete,PX_C7,5,3137,31.37,170.69,3407,34.07,-15.06,185.75,2915.0,29.15,165.84,3192.0,31.92,-3.72,169.55
Shoulder Abd/Add,Complete,PX_C7,6,3628,36.28,173.12,3894,38.94,-13.94,187.06,3398.0,33.98,163.21,3682.0,36.82,-5.02,168.23
Shoulder Abd/Add,Complete,PX_C7,7,4105,41.05,171.99,4363,43.63,-11.63,183.62,3885.0,38.85,164.38,4191.0,41.91,-1.98,166.36
Shoulder Abd/Add,Complete,IJ_PX_C7,1,1004,10.04,172.59,1344,13.44,-8.68,181.27,938.0,9.38,167.29,1244.0,12.44,-6.92,174.21
Shoulder Abd/Add,Complete,IJ_PX_C7,2,1604,16.04,172.67,1938,19.38,-7.57,180.24,1466.0,14.66,166.57,1749.0,17.49,3.57,163.0
Shoulder Abd/Add,Complete,IJ_PX_C7,3,2172,21.72,173.71,2455,24.55,-13.14,186.85,1948.0,19.48,166.48,2244.0,22.44,-3.86,170.33
Shoulder Abd/Add,Complete,IJ_PX_C7,4,2653,26.53,172.4,2919,29.19,-12.2,184.6,2448.0,24.48,167.74,2701.0,27.01,-5.39,173.13
Shoulder Abd/Add,Complete,IJ_PX_C7,5,3137,31.37,170.69,3407,34.07,-15.06,185.75,2915.0,29.15,165.84,3192.0,31.92,-3.72,169.55
Shoulder Abd/Add,Complete,IJ_PX_C7,6,3628,36.28,173.12,3894,38.94,-13.94,187.06,3398.0,33.98,163.21,3682.0,36.82,-5.02,168.23
Shoulder Abd/Add,Complete,IJ_PX_C7,7,4105,41.05,171.99,4363,43.63,-11.63,183.62,3885.0,38.85,164.38,4191.0,41.91,-1.98,166.36
Shoulder Abd/Add,Complete,Perfect,1,1004,10.04,172.59,1344,13.44,-8.68,181.27,938.0,9.38,167.29,1244.0,12.44,-6.92,174.21
Shoulder Abd/Add,Complete,Perfect,2,1604,16.04,172.67,1938,19.38,-7.57,180.24,1466.0,14.66,166.57,1749.0,17.49,3.57,163.0
Shoulder Abd/Add,Complete,Perfect,3,2172,21.72,173.71,2455,24.55,-13.14,186.85,1948.0,19.48,166.48,2244.0,22.44,-3.86,170.33
